game_id,player_id,player_name,posteam,air_yards,yards_after_catch,cpoe,qb_epa,pass_attempts,complete_passes,avg_air_yards_x,avg_yac_x,pass_location_left,pass_location_middle,pass_location_right,pass_length_short,pass_length_medium,pass_length_deep,rush_attempts,first_downs_rush,xyac_mean,xyac_median,xyac_success_rate,rush_epa,run_location_left,run_location_middle,run_location_right,run_gap_guard,run_gap_tackle,run_gap_end,receiving_attempts,first_downs_receiving,receiving_epa,avg_yac_y,avg_air_yards_y,solo_tackles,assisted_tackles,tackles_for_loss,qb_hits,sacks,interceptions,forced_fumbles,fumble_recoveries,pass_defenses,position,team
2024_10_SF_TB,00-0037525,J.Mason,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07866124,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_10_SF_TB,00-0039363,I.Guerendo,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.576378,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_11_SEA_SF,00-0033280,C.McCaffrey,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,0.0,0.0,0.0,0.9068694,8.0,3.0,8.0,5.0,4.0,7.0,5.0,1.0,-4.6035123,2.75,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_11_SEA_SF,00-0035719,D.Samuel,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.2686515,1.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,-1.8586897,4.25,4.142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,SF
2024_11_SEA_SF,00-0037525,J.Mason,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.8261764,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_12_SF_GB,00-0033280,C.McCaffrey,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,-3.215815,7.0,2.0,2.0,1.0,2.0,6.0,4.0,1.0,-5.015009,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_12_SF_GB,00-0037525,J.Mason,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.6415378,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,-1.3124305,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_13_SF_BUF,00-0029892,K.Juszczyk,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-8.842431,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_13_SF_BUF,00-0033280,C.McCaffrey,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,2.6957345,2.0,3.0,2.0,3.0,0.0,1.0,3.0,1.0,-0.75998765,11.5,-1.6666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_13_SF_BUF,00-0037525,J.Mason,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,1.2699263,5.0,5.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
